"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","198","incluye token en la respuesta exitosa","AuthService.register — US-01","2026-06-08","passed","2026-06-08","","Criterio 4: retorna JWT al registrarse","",""
"","1516","throws ForbiddenError if user is not a project member","TaskService.getTasks & assertProjectMember","2026-06-08","passed","2026-06-08","","","",""
"","8","rechaza prioridad inválida con 400 (@US-05)","Tareas API — US-05","2026-06-08","passed","2026-06-08","","","",""
"","2370","no registra historial si el estado no cambia","TaskService — máquina de estados (US-06)","2026-06-08","passed","2026-06-08","","Registro de historial","",""
"","4875","rechaza email sin dominio","AuthService.register — US-01","2026-06-08","passed","2026-06-08","","Criterio 1: email con formato válido","",""
"","6","crea un proyecto y devuelve 201 con id (@US-03)","Proyectos API — US-03 y US-04","2026-06-08","passed","2026-06-08","","","",""
"","922","rechaza transición al mismo estado (TODO → TODO)","TaskService.validateStatusTransition — Ejercicio 2","2026-06-08","passed","2026-06-08","","","",""
"","2","409 — email ya registrado","POST /auth/register","2026-06-08","passed","2026-06-08","","","",""
"","5","rechaza nombre vacío con 400 (@US-03)","Proyectos API — US-03 y US-04","2026-06-08","passed","2026-06-08","","","",""
"","1","permite la transición IN_PROGRESS → DONE","TaskService.validateStatusTransition — Ejercicio 2","2026-06-08","passed","2026-06-08","","","",""
"","2371","DONE → TODO ✗ (no se puede reabrir una tarea cerrada)","TaskService — máquina de estados (US-06)","2026-06-08","passed","2026-06-08","","Transiciones INVÁLIDAS","",""
"Verifica que el título de la tarea debe tener al menos 3 caracteres","1","lanza error si el título tiene menos de 3 caracteres","TaskService.validateTitle — Ejercicio 1","2026-06-08","passed","2026-06-08","","","",""
"","2","400 — título vacío","POST /projects/:projectId/tasks","2026-06-08","passed","2026-06-08","","","",""
"","2371","IN_PROGRESS → TODO ✓ (reabrir tarea en progreso)","TaskService — máquina de estados (US-06)","2026-06-08","passed","2026-06-08","","Transiciones VÁLIDAS","",""
"","209","solo devuelve los proyectos del usuario autenticado (@US-04)","Proyectos API — US-03 y US-04","2026-06-08","passed","2026-06-08","","","",""
"","1","lanza ConflictError si el email ya existe","AuthService.register — US-01","2026-06-08","passed","2026-06-08","","Criterio 3: email único","",""
"","2371","DONE → IN_PROGRESS ✗","TaskService — máquina de estados (US-06)","2026-06-08","passed","2026-06-08","","Transiciones INVÁLIDAS","",""
"","2697","respeta el bloqueo si lockedUntil está en el futuro","AuthService.login — US-02","2026-06-08","passed","2026-06-08","","Criterio 3: bloqueo por intentos fallidos","",""
"","8","crea una tarea con prioridad válida (@US-05)","Tareas API — US-05","2026-06-08","passed","2026-06-08","","","",""
"","4474","llama a findUnique con el email correcto","AuthService.register — US-01","2026-06-08","passed","2026-06-08","","Criterio 3: email único","",""
"","1","rechaza contraseña sin mayúscula","AuthService.register — US-01","2026-06-08","passed","2026-06-08","","Criterio 2: contraseña con requisitos de seguridad","",""
"","921","rechaza TODO → DONE (salto de estado)","TaskService.validateStatusTransition — Ejercicio 2","2026-06-08","passed","2026-06-08","","","",""
"","11","201 — registro exitoso devuelve user y token","POST /auth/register","2026-06-08","passed","2026-06-08","","","",""
"","1","lanza error si el título tiene más de 100 caracteres","TaskService.validateTitle — Ejercicio 1","2026-06-08","passed","2026-06-08","","","",""
"Verifica que el registro es exitoso si se proporciona un email válido","203","acepta email válido","AuthService.register — US-01","2026-06-08","passed","2026-06-08","","Criterio 1: email con formato válido","",""
"Verifica que el registro es rechazado si la contraseña tiene menos de 8 caracteres","4673","rechaza contraseña menor a 8 caracteres","AuthService.register — US-01","2026-06-08","passed","2026-06-08","","Criterio 2: contraseña con requisitos de seguridad","",""
"","922","rechaza IN_PROGRESS → TODO (retroceso)","TaskService.validateStatusTransition — Ejercicio 2","2026-06-08","passed","2026-06-08","","","",""
"","2371","TODO → DONE: mensaje de error describe la transición","TaskService — máquina de estados (US-06)","2026-06-08","passed","2026-06-08","","Transiciones INVÁLIDAS","",""
"","2","200 — retorna array de tareas del proyecto (mockear al menos 2 tareas)","GET /projects/:projectId/tasks","2026-06-08","passed","2026-06-08","","","",""
"","1","401 — credenciales incorrectas","POST /auth/login","2026-06-08","passed","2026-06-08","","","",""
"","1","401 — endpoint de proyectos sin token devuelve 401","POST /auth/login","2026-06-08","passed","2026-06-08","","","",""
"","1","rechaza petición sin token con 401 (@US-03)","Proyectos API — US-03 y US-04","2026-06-08","passed","2026-06-08","","","",""
"","1385","si la cuenta ya está bloqueada, no modifica failedAttempts (el conteo se detiene)","AuthService.handleFailedLogin — Ejercicio 3","2026-06-08","passed","2026-06-08","","","",""
"","922","rechaza DONE → TODO (estado final, sin transiciones)","TaskService.validateStatusTransition — Ejercicio 2","2026-06-08","passed","2026-06-08","","","",""
"","1516","returns tasks if user is a project member","TaskService.getTasks & assertProjectMember","2026-06-08","passed","2026-06-08","","","",""
"","4672","rechaza contraseña sin número","AuthService.register — US-01","2026-06-08","passed","2026-06-08","","Criterio 2: contraseña con requisitos de seguridad","",""
"","1516","acepta título con exactamente 3 caracteres (valor límite)","TaskService.validateTitle — Ejercicio 1","2026-06-08","passed","2026-06-08","","","",""
"","2","rechaza email sin @","AuthService.register — US-01","2026-06-08","passed","2026-06-08","","Criterio 1: email con formato válido","",""
"","1","401 — sin token, devuelve 401","GET /projects/:projectId/tasks","2026-06-08","passed","2026-06-08","","","",""
"","9","201 — crea tarea y devuelve el objeto creado","POST /projects/:projectId/tasks","2026-06-08","passed","2026-06-08","","","",""
"","197","acepta contraseña válida con mayúscula y número","AuthService.register — US-01","2026-06-08","passed","2026-06-08","","Criterio 2: contraseña con requisitos de seguridad","",""
"","1","401 — sin token","POST /projects/:projectId/tasks","2026-06-08","passed","2026-06-08","","","",""
"","3091","lanza UnauthorizedError si el usuario no existe","AuthService.login — US-02","2026-06-08","passed","2026-06-08","","Criterio 2: credenciales incorrectas","",""
"","1","después del 1er intento fallido: failedAttempts=1 y cuenta NO bloqueada","AuthService.handleFailedLogin — Ejercicio 3","2026-06-08","passed","2026-06-08","","","",""
"","396","lanza UnauthorizedError con password incorrecto","AuthService.login — US-02","2026-06-08","passed","2026-06-08","","Criterio 2: credenciales incorrectas","",""
"","2697","covers custom errors constructor","AuthService.login — US-02","2026-06-08","passed","2026-06-08","","Custom Errors coverage","",""
"","1385","después del 5to intento fallido: failedAttempts=5 y cuenta SÍ bloqueada (BUG-05)","AuthService.handleFailedLogin — Ejercicio 3","2026-06-08","passed","2026-06-08","","","",""
"","1516","acepta títulos válidos sin lanzar error","TaskService.validateTitle — Ejercicio 1","2026-06-08","passed","2026-06-08","","","",""
"","5","rechaza status inicial distinto de TODO con 400 (@US-05)","Tareas API — US-05","2026-06-08","passed","2026-06-08","","","",""
"","2371","IN_PROGRESS → DONE ✓","TaskService — máquina de estados (US-06)","2026-06-08","passed","2026-06-08","","Transiciones VÁLIDAS","",""
"","1517","acepta título con exactamente 100 caracteres (valor límite)","TaskService.validateTitle — Ejercicio 1","2026-06-08","passed","2026-06-08","","","",""
"","1385","después del 4to intento fallido: failedAttempts=4 y cuenta NO bloqueada","AuthService.handleFailedLogin — Ejercicio 3","2026-06-08","passed","2026-06-08","","","",""
"","2","200 — login exitoso devuelve token","POST /auth/login","2026-06-08","passed","2026-06-08","","","",""
"","2","TODO → IN_PROGRESS ✓","TaskService — máquina de estados (US-06)","2026-06-08","passed","2026-06-08","","Transiciones VÁLIDAS","",""
"Verifica el bloqueo de cuenta tras 5 intentos fallidos","395","bloquea la cuenta después de 5 intentos fallidos — BUG-05","AuthService.login — US-02","2026-06-08","passed","2026-06-08","","Criterio 3: bloqueo por intentos fallidos","",""
"","1","400 — email con formato inválido","POST /auth/register","2026-06-08","passed","2026-06-08","","","",""
"","1","mensaje de error DONE menciona que no hay transiciones permitidas","TaskService — máquina de estados (US-06)","2026-06-08","passed","2026-06-08","","Transiciones INVÁLIDAS","",""
"","1","401 — cuenta bloqueada","POST /auth/login","2026-06-08","passed","2026-06-08","","","",""
"","1","TODO → DONE ✗ (saltar IN_PROGRESS)","TaskService — máquina de estados (US-06)","2026-06-08","passed","2026-06-08","","Transiciones INVÁLIDAS","",""
"","1","permite la transición TODO → IN_PROGRESS","TaskService.validateStatusTransition — Ejercicio 2","2026-06-08","passed","2026-06-08","","","",""
"","1","registra la transición en statusHistory","TaskService — máquina de estados (US-06)","2026-06-08","passed","2026-06-08","","Registro de historial","",""
"","1516","lanza error si el título está vacío o es solo espacios en blanco","TaskService.validateTitle — Ejercicio 1","2026-06-08","passed","2026-06-08","","","",""
"","6","devuelve 200 con lista de proyectos (@US-04)","Proyectos API — US-03 y US-04","2026-06-08","passed","2026-06-08","","","",""
"","1","400 — password débil","POST /auth/register","2026-06-08","passed","2026-06-08","","","",""
"","393","el token generado incluye campo de expiración (exp) — BUG-07","AuthService.login — US-02","2026-06-08","passed","2026-06-08","","Criterio 1: login exitoso retorna JWT","",""
"","522","verifica el contrato del consumer taskflow-frontend","Provider verification — taskflow-api","2026-06-08","passed","2026-06-08","","","",""
